Gender,Married,Inc,Income,Age,Preference
0,0,"$31,779 ",$32 ,46,Regular
1,1,"$32,739 ",$33 ,50,Regular
1,1,"$24,302 ",$24 ,46,Regular
1,1,"$64,709 ",$65 ,70,Regular
1,1,"$41,882 ",$42 ,54,Regular
1,0,"$38,990 ",$39 ,36,Regular
1,0,"$22,408 ",$22 ,40,Regular
1,1,"$25,440 ",$25 ,51,Regular
0,1,"$30,784 ",$31 ,52,Regular
1,0,"$31,916 ",$32 ,43,Regular
1,0,"$23,234 ",$23 ,31,Regular
0,1,"$51,094 ",$51 ,46,Regular
1,0,"$38,176 ",$38 ,40,Regular
1,0,"$28,513 ",$29 ,34,Regular
0,1,"$44,955 ",$45 ,53,Regular
0,1,"$42,051 ",$42 ,58,Regular
1,1,"$40,955 ",$41 ,69,Regular
0,1,"$36,451 ",$36 ,44,Regular
1,0,"$20,945 ",$21 ,42,Regular
0,1,"$33,880 ",$34 ,48,Regular
1,1,"$47,667 ",$48 ,87,Regular
1,0,"$29,293 ",$29 ,43,Regular
1,1,"$30,081 ",$30 ,56,Regular
0,1,"$37,263 ",$37 ,49,Regular
1,1,"$40,582 ",$41 ,66,Regular
1,0,"$29,077 ",$29 ,39,Regular
0,1,"$27,280 ",$27 ,55,Regular
0,0,"$28,094 ",$28 ,39,Regular
1,0,"$29,728 ",$30 ,41,Regular
1,0,"$49,811 ",$50 ,49,Regular
0,0,"$38,453 ",$38 ,43,Regular
1,0,"$36,896 ",$37 ,48,Regular
0,0,"$39,923 ",$40 ,58,Regular
1,1,"$35,678 ",$36 ,64,Regular
1,1,"$34,391 ",$34 ,60,Regular
1,0,"$32,493 ",$32 ,63,Regular
1,0,"$33,553 ",$34 ,48,Regular
1,0,"$26,004 ",$26 ,62,Regular
1,1,"$35,282 ",$35 ,59,Regular
1,1,"$36,030 ",$36 ,55,Regular
1,0,"$34,575 ",$35 ,57,Regular
1,1,"$43,741 ",$44 ,54,Regular
0,0,"$31,398 ",$31 ,47,Regular
0,1,"$43,468 ",$43 ,52,Regular
0,0,"$30,587 ",$31 ,36,Regular
0,1,"$33,027 ",$33 ,51,Regular
0,0,"$27,078 ",$27 ,45,Regular
1,0,"$37,779 ",$38 ,45,Regular
1,1,"$45,600 ",$46 ,50,Regular
0,0,"$26,186 ",$26 ,38,Regular
0,1,"$46,890 ",$47 ,36,Light
0,0,"$50,154 ",$50 ,40,Light
1,0,"$38,447 ",$38 ,37,Light
1,0,"$43,992 ",$44 ,53,Light
0,0,"$40,456 ",$40 ,42,Light
1,1,"$37,606 ",$38 ,37,Light
0,0,"$36,821 ",$37 ,32,Light
0,0,"$39,370 ",$39 ,28,Light
0,1,"$49,585 ",$50 ,34,Light
0,1,"$44,802 ",$45 ,34,Light
1,1,"$43,194 ",$43 ,47,Light
0,1,"$55,608 ",$56 ,43,Light
1,0,"$38,671 ",$39 ,44,Light
1,1,"$51,126 ",$51 ,41,Light
1,0,"$37,926 ",$38 ,33,Light
1,0,"$41,057 ",$41 ,40,Light
1,1,"$36,316 ",$36 ,41,Light
0,1,"$35,050 ",$35 ,36,Light
0,1,"$44,558 ",$45 ,31,Light
0,0,"$26,598 ",$27 ,29,Light
1,1,"$48,957 ",$49 ,33,Light
1,0,"$46,626 ",$47 ,46,Light
1,1,"$40,261 ",$40 ,31,Light
1,0,"$42,775 ",$43 ,27,Light
1,1,"$51,578 ",$52 ,45,Light
0,1,"$45,610 ",$46 ,38,Light
1,1,"$58,164 ",$58 ,30,Light
0,0,"$30,841 ",$31 ,24,Light
1,0,"$52,341 ",$52 ,42,Light
0,0,"$41,779 ",$42 ,39,Light
1,1,"$42,404 ",$42 ,30,Light
0,1,"$33,700 ",$34 ,25,Light
1,1,"$55,281 ",$55 ,48,Light
1,0,"$53,768 ",$54 ,34,Light
1,1,"$47,797 ",$48 ,49,Light
1,1,"$63,555 ",$64 ,62,Light
1,1,"$42,108 ",$42 ,26,Light
0,1,"$52,875 ",$53 ,71,Light
0,1,"$59,485 ",$59 ,36,Light
1,1,"$50,517 ",$51 ,38,Light
0,0,"$43,593 ",$44 ,27,Light
0,0,"$35,406 ",$35 ,29,Light
0,1,"$46,273 ",$46 ,56,Light
0,0,"$33,088 ",$33 ,22,Light
0,0,"$41,391 ",$41 ,54,Light
0,1,"$45,133 ",$45 ,51,Light
0,1,"$39,942 ",$40 ,21,Light
1,1,"$47,495 ",$47 ,35,Light
1,1,"$70,981 ",$71 ,45,Light
0,1,"$48,259 ",$48 ,32,Light
